,adress,coordinates
395,"Москва, Кастанаевская улица, 3",55.7399971 37.4981969
396,"Москва, Ленинградский проспект, 60А",55.8000987 37.5356762
397,"Москва, Сиреневый бульвар, 32А",55.8020283 37.8040048
398,"Москва, улица Пречистенка, 40/2с1",55.7390391 37.5867524
399,"Москва, Скобелевская улица, 25, корп. 2",55.5460474 37.5588916
400,"Москва, 1-й Новоподмосковный переулок, 2/1",55.8161311 37.5039513
401,"Москва, улица Маросейка, 6-8с1",55.7575784 37.635259
402,"Москва, улица Прянишникова, 3, стр. 1",55.8355136 37.5444396
403,"Москва, Верхняя Радищевская улица, 15, стр. 3",55.7434218 37.6526805
404,"Москва, Чертановская улица, 62, корп. 2",55.5987455 37.5871886
405,"Москва, Ленинский проспект, 105",55.6653455 37.5133687
406,"Москва, Кантемировская улица, 6, корп. 1",55.637891 37.67767
